Year,TotalHomeless,Population,Unemployment,Unsheltered_perc_tot,TotalBeds_perc_tot,Emergency_perc_tot,Transitional_perc_tot,SafeHaven_perc_tot,PermanentSupportive_perc_tot,PermanentOther_perc_tot,RapidRehousing_perc_tot
2019,1111,288000,4.4,8.730873087,92.97929793,71.91719172,21.06210621,0,54.09540954,6.390639064,15.39153915
2018,1094,290521,5,8.592321755,93.96709324,68.46435101,25.50274223,0,55.21023766,6.489945155,11.42595978
2017,1128,294338,5.4,13.74113475,90.69148936,52.92553191,37.76595745,0,50.62056738,6.294326241,3.812056738
2016,1105,297249,5.3,21.71945701,91.13122172,50.04524887,41.08597285,0,39.2760181,8.778280543,4.977375566
2015,1208,297547,4.9,14.81788079,84.35430464,49.91721854,34.43708609,0,40.72847682,5.877483444,2.317880795
2014,1023,299893,5.1,5.180840665,96.57869013,59.23753666,37.34115347,0,49.36461388,0,13.58748778
2019,796,425343,6.991666667,22.11055276,106.1557789,72.2361809,33.91959799,0,48.49246231,0,8.417085427
2018,922,426228,7.483333333,23.31887202,98.9154013,70.39045553,28.52494577,0,37.31019523,0,9.761388286
2017,717,426994,8.166666667,19.38633194,112.2733612,74.33751743,37.93584379,0,51.32496513,4.184100418,3.207810321
2016,835,425879,8.554166667,24.19161677,98.08383234,64.91017964,33.17365269,0,26.22754491,3.952095808,2.035928144
2015,748,421708,8.770833333,18.44919786,112.4331551,77.67379679,34.75935829,0,37.96791444,0,0.935828877
2014,761,418332,9.7625,12.08935611,108.5413929,76.60972405,31.93166886,0,27.59526938,0,2.496714849
2019,981,965787,2.6,33.23139653,84.30173293,52.59938838,28.23649337,3.465851172,177.3700306,0,10.80530071
2018,901,963666,3.333333333,24.3063263,101.1098779,63.15205327,34.18423973,3.773584906,196.2264151,0,21.19866815
2017,1092,961158,3.933333333,19.87179487,90.29304029,54.48717949,32.69230769,3.113553114,141.2087912,8.516483516,48.07692308
2016,1228,958931,5.066666667,15.96091205,90.63517915,40.1465798,47.71986971,2.768729642,121.4983713,7.573289902,30.45602606
2015,1153,955960,5.066666667,20.55507372,91.41370338,35.21248916,53.25238508,2.948829141,146.2272333,2.948829141,50.73720729
2014,1329,952248,5.5,31.15124153,80.13544018,30.09781791,47.47930775,2.558314522,130.0978179,0,0
2019,505,636444,3.25,40,78.01980198,51.68316832,26.33663366,0,47.52475248,0,6.138613861
2018,551,631763,4.15,42.28675136,78.94736842,54.08348457,24.86388385,0,36.84210526,0,10.8892922
2017,606,626566,4.8,43.72937294,86.79867987,50.1650165,36.63366337,0,40.75907591,0,8.910891089
2016,623,622546,6,37.8812199,76.40449438,56.82182986,19.58266453,0,80.8988764,0,74.95987159
2015,578,617401,6.25,37.02422145,83.73702422,62.11072664,21.62629758,0,35.98615917,0,12.97577855
2014,598,613332,6.9,22.909699,89.7993311,57.52508361,32.27424749,0,33.27759197,0,1.672240803
2019,390,209041,3.35,51.53846154,48.46153846,27.17948718,21.28205128,0,10.76923077,2.051282051,0
2018,256,208656,4.15,8.59375,82.03125,39.84375,42.1875,0,19.53125,0,0
2017,155,208593,4.9,14.19354839,152.9032258,26.4516129,126.4516129,0,23.22580645,12.90322581,0
2016,337,208493,6.475,15.13353116,70.3264095,12.16617211,58.16023739,0,10.68249258,5.934718101,0
2015,245,208510,7.125,12.65306122,107.755102,28.57142857,79.18367347,0,23.67346939,0,0
2014,209,209220,7.775,9.56937799,127.2727273,39.23444976,88.03827751,0,23.92344498,0,0
2019,464,882432,2.775,18.75,118.75,111.4224138,7.327586207,0,64.22413793,0,6.896551724
2018,424,872615,3.6,27.35849057,125.2358491,118.8679245,6.367924528,0,72.87735849,0,0.70754717
2017,436,864534,4.275,22.70642202,111.6972477,104.8165138,6.880733945,0,69.26605505,0,0
2016,385,857386,5.475,22.5974026,121.038961,112.2077922,8.831168831,0,72.20779221,0,10.12987013
