CoC Number,CoC Name,State,Homeless Population
NY-600,New York City CoC,NY,"76,501"
CA-600,Los Angelos City and County CoC,CA,"55,188"
WA-500,Seattle/King County CoC,WA," 11,643"
CA-601,San Diego City and County CoC,CA,"9,160"
DC-500,District of Columbia CoC,DC,"7,473"
CA-500,San Jose/Santa Clara City & County CoC,CA,"7,394"
TX-607,Texas Balance of State CoC,TX," 7,153"
CA-501,San Francisco CoC,CA,"6,858"
NV-500,Las Vegas/Clark County CoC,NV,"6,490"
MA-500,Boston CoC,MA,"6,135"
OR-505,Oregon Balance of State,OR,"5,795"
PA-500,Philadelphia CoC,PA,"5,693"
IL-500,Chicago CoC,IL,"5,657"
CA-502,"Oakland, Berkeley/Alameda County CoC ",CA,"5,629"
AZ-502,"Phoenix, Mesa/Maricopa County CoC",AZ,"5,605"
CO-503,Metropolitan Denver CoC,CO,"5,506"
HI-501,Honolulu City and County CoC,HI,"4,959"
CA-602,"Santa Ana, Anaheim/Orange County CoC ",CA,"4,792"
WA-501,Washington Balance of State CoC,WA,"4,671"
CO-500,Colorado Balance of State CoC,CO,"4,019"
