FIPStxt,Stabr,Area_name,Rural-urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural-urban_Continuum_Code_2013,Urban_Influence_Code_2013,Overall Poverty,Pct Overall Poverty,Poverty 0-17,Pct Poverty 0-17,Poverty 5-15,Pct Poverty 5-17,Med Household Income,Poverty 0-4,Pct Poverty 0-4
01000,AL,Alabama,,,,,"747,478",15.6,"233,890",21.9,"161,670",20.7,"51,771","69,236",24.2
01001,AL,Autauga County,2,2,2,2,"6,723",12.1,"2,040",15.9,"1,376",14.4,"58,233",,
01003,AL,Baldwin County,4,5,3,2,"22,360",10.1,"6,323",13.5,"4,641",13.3,"59,871",,
01005,AL,Barbour County,6,6,6,6,"5,909",27.1,"2,050",41.0,"1,468",39.5,"35,972",,
01007,AL,Bibb County,1,1,1,1,"4,101",20.3,"1,147",25.9,808,25.2,"47,918",,
01009,AL,Blount County,1,1,1,1,"9,324",16.3,"2,750",21.0,"2,067",21.4,"52,902",,
01011,AL,Bullock County,6,6,6,6,"2,537",30.0,825,39.9,591,39.0,"31,906",,
01013,AL,Butler County,6,6,6,6,"4,124",21.6,"1,460",34.6,"1,024",32.8,"39,944",,
01015,AL,Calhoun County,3,2,3,2,"18,988",17.2,"5,878",24.6,"3,994",22.8,"47,747",,
01017,AL,Chambers County,6,5,6,5,"6,415",19.6,"2,058",30.4,"1,538",31.1,"42,015",,
01019,AL,Cherokee County,8,6,6,6,"4,121",15.9,"1,135",23.3,795,21.6,"45,982",,
01021,AL,Chilton County,1,1,1,1,"7,044",16.0,"2,404",23.1,"1,643",21.2,"49,692",,
01023,AL,Choctaw County,9,10,9,10,"2,811",22.6,745,30.4,508,28.3,"39,808",,
01025,AL,Clarke County,7,11,7,11,"4,281",18.4,"1,425",28.6,"1,014",27.9,"43,822",,
01027,AL,Clay County,9,10,9,10,"2,156",16.6,685,26.0,433,22.3,"40,562",,
01029,AL,Cleburne County,8,4,8,4,"1,945",13.3,591,17.9,427,17.7,"51,276",,
01031,AL,Coffee County,6,5,4,5,"7,734",15.0,"2,664",21.8,"1,927",21.3,"57,299",,
