FIPS,county,state,number
1001,Autauga,AL,AL-507
1003,Baldwin,AL,AL-501
1005,Barbour,AL,AL-507
1007,Bibb,AL,AL-507
1009,Blount,AL,AL-503
1011,Bullock,AL,AL-507
1013,Butler,AL,AL-507
1015,Calhoun,AL,AL-505
1017,Chambers,AL,AL-507
1019,Cherokee,AL,AL-503
1021,Chilton,AL,AL-507
1023,Choctaw,AL,AL-507
1025,Clarke,AL,AL-507
1027,Clay,AL,AL-507
1029,Cleburne,AL,AL-505
1031,Coffee,AL,AL-507
1033,Colbert,AL,AL-502
1035,Conecuh,AL,AL-507
1037,Coosa,AL,AL-507
1039,Covington,AL,AL-507
1041,Crenshaw,AL,AL-507
1043,Cullman,AL,AL-503
1045,Dale,AL,AL-507
1047,Dallas,AL,AL-507
1049,DeKalb,AL,AL-503
1051,Elmore,AL,AL-507
1053,Escambia,AL,AL-507
1055,Etowah,AL,AL-505
1057,Fayette,AL,AL-507
1059,Franklin,AL,AL-502
1061,Geneva,AL,AL-507
1063,Greene,AL,AL-507
1065,Hale,AL,AL-507
1067,Henry,AL,AL-507
1069,Houston,AL,AL-507
1071,Jackson,AL,AL-503
1073,Jefferson,AL,AL-500
1075,Lamar,AL,AL-507
1077,Lauderdale,AL,AL-502
1079,Lawrence,AL,AL-507
1081,Lee,AL,AL-507
1083,Limestone,AL,AL-503
1085,Lowndes,AL,AL-507
1087,Macon,AL,AL-507
1089,Madison,AL,AL-503
1091,Marengo,AL,AL-507
1093,Marion,AL,AL-502
1095,Marshall,AL,AL-505
1097,Mobile,AL,AL-501
1099,Monroe,AL,AL-507
1101,Montgomery,AL,AL-504
1103,Morgan,AL,AL-503
1105,Perry,AL,AL-507
1107,Pickens,AL,AL-507
1109,Pike,AL,AL-507
1111,Randolph,AL,AL-507
1113,Russell,AL,AL-507
1115,St. Clair,AL,AL-500
1117,Shelby,AL,AL-500
1119,Sumter,AL,AL-507
1121,Talladega,AL,AL-505
1123,Tallapoosa,AL,AL-507
1125,Tuscaloosa,AL,AL-506
1127,Walker,AL,AL-507
1129,Washington,AL,AL-507
1131,Wilcox,AL,AL-507
1133,Winston,AL,AL-507
2013,Aleutians East,AK,AK-501
2016,Aleutians West,AK,AK-501
2020,Anchorage,AK,AK-500
2050,Bethel,AK,AK-501
2060,Bristol Bay,AK,AK-501
2068,Denali,AK,AK-501
2070,Dillingham,AK,AK-501
2090,Fairbanks North Star,AK,AK-501
2100,Haines,AK,AK-501
2105,Hoonah-Angoon,AK,AK-501
2110,Juneau,AK,AK-501
2122,Kenai Peninsula,AK,AK-501
2130,Ketchikan Gateway,AK,AK-501
2150,Kodiak Island,AK,AK-501
2164,Lake and Peninsula,AK,AK-501
2170,Matanuska-Susitna,AK,AK-501
2180,Nome,AK,AK-501
2185,North Slope,AK,AK-501
2188,Northwest Arctic,AK,AK-501
2195,Petersburg,AK,AK-501
2201,Prince of Wales,AK,AK-501
2220,Sitka,AK,AK-501
2232,Skagway,AK,AK-501
2240,Southeast Fairbanks,AK,AK-501
2261,Valdez-Cordova,AK,AK-501
2270,Wade Hampton,AK,AK-501
2280,Wrangell City,AK,AK-501
2282,Yakutat,AK,AK-501
2290,Yukon-Koyukuk,AK,AK-501
4001,Apache,AZ,AZ-500
4003,Cochise,AZ,AZ-502
4005,Coconino,AZ,AZ-502
4007,Gila,AZ,AZ-500
4009,Graham,AZ,AZ-500
4011,Greenlee,AZ,AZ-500
4012,La Paz,AZ,AZ-500
4013,Maricopa,AZ,AZ-502
4015,Mohave,AZ,AZ-500
4017,Navajo,AZ,AZ-500
4019,Pima,AZ,AZ-501
4021,Pinal,AZ,AZ-500
4023,Santa Cruz,AZ,AZ-500
4025,Yavapai,AZ,AZ-500
4027,Yuma,AZ,AZ-500
5001,Arkansas,AR,AR-503
5003,Ashley,AR,AR-505
5005,Baxter,AR,AR-503
5007,Benton,AR,AR-501
5009,Boone,AR,AR-503
5011,Bradley,AR,AR-505
5013,Calhoun,AR,AR-503
5015,Carroll,AR,AR-503
5017,Chicot,AR,AR-505
5019,Clark,AR,AR-503
5021,Clay,AR,AR-503
5023,Cleburne,AR,AR-503
5025,Cleveland,AR,AR-505
5027,Columbia,AR,AR-503
5029,Conway,AR,AR-503
5031,Craighead,AR,AR-503
5033,Crawford,AR,AR-503
5035,Crittenden,AR,AR-503
5037,Cross,AR,AR-503
5039,Dallas,AR,AR-503
5041,Desha,AR,AR-505
5043,Drew,AR,AR-505
5045,Faulkner,AR,AR-500
5047,Franklin,AR,AR-503
5049,Fulton,AR,AR-503
5051,Garland,AR,AR-503
5053,Grant,AR,AR-500
5055,Greene,AR,AR-503
5057,Hempstead,AR,AR-503
5059,Hot Spring,AR,AR-503
5061,Howard,AR,AR-503
5063,Independence,AR,AR-503
5065,Izard,AR,AR-503
5067,Jackson,AR,AR-503
5069,Jefferson,AR,AR-505
5071,Johnson,AR,AR-503
5073,Lafayette,AR,AR-503
5075,Lawrence,AR,AR-503
5077,Lee,AR,AR-503
5079,Lincoln,AR,AR-505
5081,Little River,AR,AR-503
5083,Logan,AR,AR-503
5085,Lonoke,AR,AR-500
5087,Madison,AR,AR-501
5089,Marion,AR,AR-503
5091,Miller,AR,AR-503
5093,Mississippi,AR,AR-503
5095,Monroe,AR,AR-503
5097,Montgomery,AR,AR-503
5099,Nevada,AR,AR-503
5101,Newton,AR,AR-503
5103,Ouachita,AR,AR-503
5105,Perry,AR,AR-503
5107,Phillips,AR,AR-503
5109,Pike,AR,AR-503
5111,Poinsett,AR,AR-503
5113,Polk,AR,AR-503
5115,Pope,AR,AR-503
5117,Prairie,AR,AR-503
5119,Pulaski,AR,AR-500
5121,Randolph,AR,AR-503
5123,St Francis,AR,AR-503
5125,Saline,AR,AR-500
5127,Scott,AR,AR-503
5129,Searcy,AR,AR-503
5131,Sebastian,AR,AR-508
5133,Sevier,AR,AR-503
5135,Sharp,AR,AR-503
5137,Stone,AR,AR-503
5139,Union,AR,AR-503
5141,Van Buren,AR,AR-503
5143,Washington,AR,AR-501
5145,White,AR,AR-503
5147,Woodruff,AR,AR-503
5149,Yell,AR,AR-503
6001,Alameda,CA,CA-502
6003,Alpine,CA,CA-615
6005,Amador,CA,CA-526
6007,Butte,CA,CA-519
6009,Calaveras,CA,CA-526
6011,Colusa,CA,CA-523
6013,Contra Costa,CA,CA-505
6015,Del Norte,CA,CA-516
6017,El Dorado,CA,CA-525
6019,Fresno,CA,CA-514
6021,Glenn,CA,CA-523
30000,Glendale,CA,CA-612
6023,Humboldt,CA,CA-522
6025,Imperial,CA,CA-613
6027,Inyo,CA,CA-615
6029,Kern,CA,CA-604
6031,Kings,CA,CA-513
6033,Lake,CA,CA-529
6035,Lassen,CA,CA-516
43000,Long Beach,CA,CA-606
6037,Los Angeles,CA,CA-600
6039,Madera,CA,CA-514
6041,Marin,CA,CA-507
6043,Mariposa,CA,CA-526
6045,Mendocino,CA,CA-509
6047,Merced,CA,CA-520
6049,Modoc,CA,CA-516
6051,Mono,CA,CA-615
6053,Monterey,CA,CA-506
6055,Napa,CA,CA-517
6057,Nevada,CA,CA-515
6059,Orange,CA,CA-602
56000,Pasadena,CA,CA-607
6061,Placer,CA,CA-515
6063,Plumas,CA,CA-516
6065,Riverside,CA,CA-608
6067,Sacramento,CA,CA-503
6069,San Benito,CA,CA-506
6071,San Bernardino,CA,CA-609
6073,San Diego,CA,CA-601
6075,San Francisco,CA,CA-501
6077,San Joaquin,CA,CA-511
6079,San Luis Obispo,CA,CA-614
6081,San Mateo,CA,CA-512
6083,Santa Barbara,CA,CA-603
6085,Santa Clara,CA,CA-500
6087,Santa Cruz,CA,CA-508
6089,Shasta,CA,CA-516
6091,Sierra,CA,CA-516
6093,Siskiyou,CA,CA-516
6095,Solano,CA,CA-518
6097,Sonoma,CA,CA-504
6099,Stanislaus,CA,CA-510
6101,Sutter,CA,CA-524
6103,Tehama,CA,CA-527
6105,Trinity,CA,CA-523
6107,Tulare,CA,CA-513
6109,Tuolumne,CA,CA-526
6111,Ventura,CA,CA-611
6113,Yolo,CA,CA-521
