FIPS,county,state,number,Geographic Area,County,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,FIPS_Code,State,Area_name,Unemployment_rate_2000,Unemployment_rate_2001,Unemployment_rate_2002,Unemployment_rate_2003,Unemployment_rate_2004,Unemployment_rate_2005,Unemployment_rate_2006,Unemployment_rate_2007,Unemployment_rate_2008,Unemployment_rate_2009,Unemployment_rate_2010,Unemployment_rate_2011,Unemployment_rate_2012,Unemployment_rate_2013,Unemployment_rate_2014,Unemployment_rate_2015,Unemployment_rate_2016,Unemployment_rate_2017,Unemployment_rate_2018,Unemployment_rate_2019,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019
1001,Autauga,AL,AL-507,".Autauga County, Alabama",Autauga,"54,773","55,227","54,954","54,727","54,893","54,864","55,243","55,390","55,533","55,869",1001.0,AL,"Autauga County, AL",4.1,4.1,4.8,5.0,4.7,3.8,3.3,3.4,5.3,8.9,8.8,8.3,7.1,6.3,5.8,5.2,5.1,4.0,3.6,2.7,4.9,"58,233",112.5
1003,Baldwin,AL,AL-501,".Baldwin County, Alabama",Baldwin,"183,112","186,558","190,145","194,885","199,183","202,939","207,601","212,521","217,855","223,234",1003.0,AL,"Baldwin County, AL",3.7,4.3,5.0,4.9,5.1,4.0,3.2,3.2,4.8,8.9,9.9,9.0,7.7,6.7,6.1,5.6,5.4,4.2,3.6,2.8,5.6,"59,871",115.6
1005,Barbour,AL,AL-507,".Barbour County, Alabama",Barbour,"27,327","27,341","27,169","26,937","26,755","26,283","25,806","25,157","24,872","24,686",1005.0,AL,"Barbour County, AL",5.6,7.6,7.7,7.1,7.1,5.7,5.6,6.4,9.1,13.2,12.1,11.4,11.8,10.4,10.5,8.9,8.4,6.0,5.1,3.8,7.0,"35,972",69.5
1007,Bibb,AL,AL-507,".Bibb County, Alabama",Bibb,"22,870","22,745","22,667","22,521","22,553","22,566","22,586","22,550","22,367","22,394",1007.0,AL,"Bibb County, AL",5.4,6.8,7.0,5.9,5.4,4.4,4.2,4.2,6.0,12.2,11.2,10.4,8.8,8.0,7.2,6.7,6.5,4.5,4.0,3.1,6.6,"47,918",92.6
1009,Blount,AL,AL-503,".Blount County, Alabama",Blount,"57,376","57,560","57,580","57,619","57,526","57,526","57,494","57,787","57,771","57,826",1009.0,AL,"Blount County, AL",3.5,3.7,5.4,4.6,4.1,3.6,3.2,3.2,4.8,9.2,9.7,8.6,7.1,6.4,6.1,5.4,5.4,4.2,3.5,2.7,4.1,"52,902",102.2
1011,Bullock,AL,AL-507,".Bullock County, Alabama",Bullock,"10,876","10,675","10,606","10,549","10,663","10,400","10,389","10,176","10,174","10,101",1011.0,AL,"Bullock County, AL",8.5,10.0,10.2,10.9,11.4,9.4,8.8,9.6,10.9,14.4,11.7,11.5,10.6,9.5,8.8,8.0,6.9,5.1,4.6,3.7,5.5,"31,906",61.6
1013,Butler,AL,AL-507,".Butler County, Alabama",Butler,"20,932","20,866","20,670","20,356","20,327","20,162","20,012","19,888","19,631","19,448",1013.0,AL,"Butler County, AL",7.9,7.6,7.9,8.6,9.4,6.4,5.7,6.3,8.8,15.1,13.4,12.4,11.8,10.4,8.5,7.6,6.9,5.7,4.7,3.7,8.8,"39,944",77.2
1015,Calhoun,AL,AL-505,".Calhoun County, Alabama",Calhoun,"118,408","117,744","117,190","116,471","115,917","115,469","114,973","114,710","114,331","113,605",1015.0,AL,"Calhoun County, AL",5.1,5.6,6.0,5.9,5.4,4.5,4.0,4.0,5.9,10.2,11.2,10.3,9.1,8.9,7.9,7.1,6.6,5.1,4.6,3.6,7.1,"47,747",92.2
1017,Chambers,AL,AL-507,".Chambers County, Alabama",Chambers,"34,122","34,033","34,104","34,139","33,977","33,996","33,745","33,707","33,600","33,254",1017.0,AL,"Chambers County, AL",4.4,5.5,6.7,6.4,6.9,5.7,5.8,6.6,14.9,18.1,14.6,11.8,10.1,8.1,6.7,6.1,5.5,4.2,3.9,2.9,6.8,"42,015",81.2
1019,Cherokee,AL,AL-503,".Cherokee County, Alabama",Cherokee,"25,963","25,989","25,958","26,017","25,895","25,732","25,768","25,805","26,014","26,196",1019.0,AL,"Cherokee County, AL",4.5,4.6,4.8,4.9,4.7,4.3,4.2,4.3,5.9,10.7,10.5,9.6,8.2,6.7,5.8,5.5,5.1,4.2,3.6,2.9,4.6,"45,982",88.8
