FIPS,county,state,number,population
1001,Autauga,AL,AL-507,"55,869"
1003,Baldwin,AL,AL-501,"223,234"
1005,Barbour,AL,AL-507,"24,686"
1007,Bibb,AL,AL-507,"22,394"
1009,Blount,AL,AL-503,"57,826"
1011,Bullock,AL,AL-507,"10,101"
1013,Butler,AL,AL-507,"19,448"
1015,Calhoun,AL,AL-505,"113,605"
1017,Chambers,AL,AL-507,"33,254"
1019,Cherokee,AL,AL-503,"26,196"
1021,Chilton,AL,AL-507,"44,428"
1023,Choctaw,AL,AL-507,"12,589"
1025,Clarke,AL,AL-507,"23,622"
1027,Clay,AL,AL-507,"13,235"
1029,Cleburne,AL,AL-505,"14,910"
1031,Coffee,AL,AL-507,"52,342"
1033,Colbert,AL,AL-502,"55,241"
1035,Conecuh,AL,AL-507,"12,067"
1037,Coosa,AL,AL-507,"10,663"
1039,Covington,AL,AL-507,"37,049"
1041,Crenshaw,AL,AL-507,"13,772"
1043,Cullman,AL,AL-503,"83,768"
1045,Dale,AL,AL-507,"49,172"
1047,Dallas,AL,AL-507,"37,196"
1049,DeKalb,AL,AL-503,"71,513"
1051,Elmore,AL,AL-507,"81,209"
1053,Escambia,AL,AL-507,"36,633"
1055,Etowah,AL,AL-505,"102,268"
1057,Fayette,AL,AL-507,"16,302"
1059,Franklin,AL,AL-502,"31,362"
1061,Geneva,AL,AL-507,"26,271"
1063,Greene,AL,AL-507,"8,111"
1065,Hale,AL,AL-507,"14,651"
1067,Henry,AL,AL-507,"17,205"
1069,Houston,AL,AL-507,"105,882"
1071,Jackson,AL,AL-503,"51,626"
1073,Jefferson,AL,AL-500,"658,573"
1075,Lamar,AL,AL-507,"13,805"
1077,Lauderdale,AL,AL-502,"92,729"
1079,Lawrence,AL,AL-507,"32,924"
1081,Lee,AL,AL-507,"164,542"
1083,Limestone,AL,AL-503,"98,915"
1085,Lowndes,AL,AL-507,"9,726"
1087,Macon,AL,AL-507,"18,068"
1089,Madison,AL,AL-503,"372,909"
1091,Marengo,AL,AL-507,"18,863"
1093,Marion,AL,AL-502,"29,709"
1095,Marshall,AL,AL-505,"96,774"
1097,Mobile,AL,AL-501,"413,210"
1099,Monroe,AL,AL-507,"20,733"
1101,Montgomery,AL,AL-504,"226,486"
1103,Morgan,AL,AL-503,"119,679"
1105,Perry,AL,AL-507,"8,923"
1107,Pickens,AL,AL-507,"19,930"
1109,Pike,AL,AL-507,"33,114"
1111,Randolph,AL,AL-507,"22,722"
1113,Russell,AL,AL-507,"57,961"
1115,St. Clair,AL,AL-500,"89,512"
1117,Shelby,AL,AL-500,"217,702"
1119,Sumter,AL,AL-507,"12,427"
1121,Talladega,AL,AL-505,"79,978"
1123,Tallapoosa,AL,AL-507,"40,367"
1125,Tuscaloosa,AL,AL-506,"209,355"
1127,Walker,AL,AL-507,"63,521"
1129,Washington,AL,AL-507,"16,326"
1131,Wilcox,AL,AL-507,"10,373"
1133,Winston,AL,AL-507,"23,629"
2013,Aleutians East,AK,AK-501,"3,337"
2016,Aleutians West,AK,AK-501,"5,634"
2020,Anchorage,AK,AK-500,"288,000"
2050,Bethel,AK,AK-501,"18,386"
2060,Bristol Bay,AK,AK-501,836
2068,Denali,AK,AK-501,"2,097"
2070,Dillingham,AK,AK-501,"4,916"
2090,Fairbanks North Star,AK,AK-501,"96,849"
2100,Haines,AK,AK-501,"2,530"
2110,Juneau,AK,AK-501,"2,148"
2122,Kenai Peninsula,AK,AK-501,"31,974"
2130,Ketchikan Gateway,AK,AK-501,"58,708"
2150,Kodiak Island,AK,AK-501,"13,901"
2164,Lake and Peninsula,AK,AK-501,"12,998"
2170,Matanuska-Susitna,AK,AK-501,"8,314"
2180,Nome,AK,AK-501,"1,592"
2185,North Slope,AK,AK-501,"108,317"
2188,Northwest Arctic,AK,AK-501,"10,004"
2201,Prince of Wales,AK,AK-501,"9,832"
2220,Sitka,AK,AK-501,"7,621"
2232,Skagway,AK,AK-501,"3,266"
2240,Southeast Fairbanks,AK,AK-501,"6,203"
2261,Valdez-Cordova,AK,AK-501,"8,493"
2270,Wade Hampton,AK,AK-501,"1,183"
2280,Wrangell City,AK,AK-501,"6,893"
2282,Yakutat,AK,AK-501,"9,202"
2290,Yukon-Koyukuk,AK,AK-501,"2,502"
4001,Apache,AZ,AZ-500,579
4003,Cochise,AZ,AZ-502,"5,230"
4005,Coconino,AZ,AZ-502,"71,887"
4007,Gila,AZ,AZ-500,"125,922"
4009,Graham,AZ,AZ-500,"143,476"
4011,Greenlee,AZ,AZ-500,"54,018"
4012,La Paz,AZ,AZ-500,"38,837"
4013,Maricopa,AZ,AZ-502,"9,498"
4015,Mohave,AZ,AZ-500,"21,108"
4017,Navajo,AZ,AZ-500,"4,485,414"
4019,Pima,AZ,AZ-501,"212,181"
4021,Pinal,AZ,AZ-500,"110,924"
4023,Santa Cruz,AZ,AZ-500,"1,047,279"
4025,Yavapai,AZ,AZ-500,"462,789"
4027,Yuma,AZ,AZ-500,"46,498"
5001,Arkansas,AR,AR-503,"235,099"
5003,Ashley,AR,AR-505,"213,787"
5005,Baxter,AR,AR-503,"17,486"
5007,Benton,AR,AR-501,"19,657"
5009,Boone,AR,AR-503,"41,932"
5011,Bradley,AR,AR-505,"279,141"
5013,Calhoun,AR,AR-503,"37,432"
5015,Carroll,AR,AR-503,"10,763"
5017,Chicot,AR,AR-505,"5,189"
5019,Clark,AR,AR-503,"28,380"
5021,Clay,AR,AR-503,"10,118"
5023,Cleburne,AR,AR-503,"22,320"
5025,Cleveland,AR,AR-505,"14,551"
5027,Columbia,AR,AR-503,"24,919"
5029,Conway,AR,AR-503,"7,956"
5031,Craighead,AR,AR-503,"23,457"
5033,Crawford,AR,AR-503,"20,846"
5035,Crittenden,AR,AR-503,"110,332"
5037,Cross,AR,AR-503,"63,257"
5039,Dallas,AR,AR-503,"47,955"
5041,Desha,AR,AR-505,"16,419"
5043,Drew,AR,AR-505,"7,009"
5045,Faulkner,AR,AR-500,"11,361"
5047,Franklin,AR,AR-503,"18,219"
5049,Fulton,AR,AR-503,"126,007"
5051,Garland,AR,AR-503,"17,715"
5053,Grant,AR,AR-500,"12,477"
5055,Greene,AR,AR-503,"99,386"
5057,Hempstead,AR,AR-503,"18,265"
5059,Hot Spring,AR,AR-503,"45,325"
5061,Howard,AR,AR-503,"21,532"
5063,Independence,AR,AR-503,"33,771"
5065,Izard,AR,AR-503,"13,202"
5067,Jackson,AR,AR-503,"37,825"
5069,Jefferson,AR,AR-505,"13,629"
5071,Johnson,AR,AR-503,"16,719"
5073,Lafayette,AR,AR-503,"66,824"
5075,Lawrence,AR,AR-503,"26,578"
5077,Lee,AR,AR-503,"6,624"
5079,Lincoln,AR,AR-505,"16,406"
5081,Little River,AR,AR-503,"8,857"
5083,Logan,AR,AR-503,"13,024"
5085,Lonoke,AR,AR-500,"12,259"
5087,Madison,AR,AR-501,"21,466"
5089,Marion,AR,AR-503,"73,309"
5091,Miller,AR,AR-503,"16,576"
5093,Mississippi,AR,AR-503,"16,694"
5095,Monroe,AR,AR-503,"43,257"
5097,Montgomery,AR,AR-503,"40,651"
5099,Nevada,AR,AR-503,"6,701"
5101,Newton,AR,AR-503,"8,986"
5103,Ouachita,AR,AR-503,"8,252"
5105,Perry,AR,AR-503,"7,753"
5107,Phillips,AR,AR-503,"23,382"
5109,Pike,AR,AR-503,"10,455"
5111,Poinsett,AR,AR-503,"17,782"
5113,Polk,AR,AR-503,"10,718"
5115,Pope,AR,AR-503,"23,528"
5117,Prairie,AR,AR-503,"19,964"
5119,Pulaski,AR,AR-500,"64,072"
5121,Randolph,AR,AR-503,"8,062"
5123,St Francis,AR,AR-503,"391,911"
5125,Saline,AR,AR-500,"17,958"
5127,Scott,AR,AR-503,"24,994"
5129,Searcy,AR,AR-503,"122,437"
5131,Sebastian,AR,AR-508,"10,281"
5133,Sevier,AR,AR-503,"7,881"
5135,Sharp,AR,AR-503,"127,827"
5137,Stone,AR,AR-503,"17,007"
5139,Union,AR,AR-503,"17,442"
5141,Van Buren,AR,AR-503,"12,506"
5143,Washington,AR,AR-501,"38,682"
5145,White,AR,AR-503,"16,545"
5147,Woodruff,AR,AR-503,"239,187"
5149,Yell,AR,AR-503,"78,753"
6001,Alameda,CA,CA-502,"6,320"
6003,Alpine,CA,CA-615,"21,341"
6005,Amador,CA,CA-526,"1,671,329"
6007,Butte,CA,CA-519,"1,129"
6009,Calaveras,CA,CA-526,"39,752"
6011,Colusa,CA,CA-523,"219,186"
6013,Contra Costa,CA,CA-505,"45,905"
6015,Del Norte,CA,CA-516,"21,547"
6017,El Dorado,CA,CA-525,"1,153,526"
6019,Fresno,CA,CA-514,"27,812"
6021,Glenn,CA,CA-523,"192,843"
6023,Humboldt,CA,CA-522,"999,101"
6025,Imperial,CA,CA-613,"28,393"
6027,Inyo,CA,CA-615,"135,558"
6029,Kern,CA,CA-604,"181,215"
6031,Kings,CA,CA-513,"18,039"
6033,Lake,CA,CA-529,"900,202"
6035,Lassen,CA,CA-516,"152,940"
6037,Los Angeles,CA,CA-600,"64,386"
6039,Madera,CA,CA-514,"30,573"
6041,Marin,CA,CA-507,"10,039,107"
6043,Mariposa,CA,CA-526,"157,327"
6045,Mendocino,CA,CA-509,"258,826"
6047,Merced,CA,CA-520,"17,203"
6049,Modoc,CA,CA-516,"86,749"
6051,Mono,CA,CA-615,"277,680"
6053,Monterey,CA,CA-506,"8,841"
6055,Napa,CA,CA-517,"14,444"
6057,Nevada,CA,CA-515,"434,061"
6059,Orange,CA,CA-602,"137,744"
6061,Placer,CA,CA-515,"99,755"
6063,Plumas,CA,CA-516,"3,175,692"
6065,Riverside,CA,CA-608,"398,329"
6067,Sacramento,CA,CA-503,"18,807"
6069,San Benito,CA,CA-506,"2,470,546"
6071,San Bernardino,CA,CA-609,"1,552,058"
6073,San Diego,CA,CA-601,"62,808"
6075,San Francisco,CA,CA-501,"2,180,085"
