FIPS_Code,State,Area_name,Unemployment_rate_2000,Unemployment_rate_2001,Unemployment_rate_2002,Unemployment_rate_2003,Unemployment_rate_2004,Unemployment_rate_2005,Unemployment_rate_2006,Unemployment_rate_2007,Unemployment_rate_2008,Unemployment_rate_2009,Unemployment_rate_2010,Unemployment_rate_2011,Unemployment_rate_2012,Unemployment_rate_2013,Unemployment_rate_2014,Unemployment_rate_2015,Unemployment_rate_2016,Unemployment_rate_2017,Unemployment_rate_2018,Unemployment_rate_2019,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019
00000,US,United States,4.0,4.7,5.8,6.0,5.5,5.1,4.6,4.6,5.8,9.3,9.6,9.0,8.1,7.4,6.2,5.3,4.9,4.4,3.9,3.7,8.1,"65,712",
01000,AL,Alabama,4.6,5.2,5.9,6.0,5.6,4.4,4.0,4.1,5.8,10.1,10.4,9.6,8.2,7.3,6.7,6.1,5.9,4.6,3.9,3.0,5.9,"51,771",100.0
01001,AL,"Autauga County, AL",4.1,4.1,4.8,5.0,4.7,3.8,3.3,3.4,5.3,8.9,8.8,8.3,7.1,6.3,5.8,5.2,5.1,4.0,3.6,2.7,4.9,"58,233",112.5
01003,AL,"Baldwin County, AL",3.7,4.3,5.0,4.9,5.1,4.0,3.2,3.2,4.8,8.9,9.9,9.0,7.7,6.7,6.1,5.6,5.4,4.2,3.6,2.8,5.6,"59,871",115.6
01005,AL,"Barbour County, AL",5.6,7.6,7.7,7.1,7.1,5.7,5.6,6.4,9.1,13.2,12.1,11.4,11.8,10.4,10.5,8.9,8.4,6.0,5.1,3.8,7.0,"35,972",69.5
01007,AL,"Bibb County, AL",5.4,6.8,7.0,5.9,5.4,4.4,4.2,4.2,6.0,12.2,11.2,10.4,8.8,8.0,7.2,6.7,6.5,4.5,4.0,3.1,6.6,"47,918",92.6
01009,AL,"Blount County, AL",3.5,3.7,5.4,4.6,4.1,3.6,3.2,3.2,4.8,9.2,9.7,8.6,7.1,6.4,6.1,5.4,5.4,4.2,3.5,2.7,4.1,"52,902",102.2
01011,AL,"Bullock County, AL",8.5,10.0,10.2,10.9,11.4,9.4,8.8,9.6,10.9,14.4,11.7,11.5,10.6,9.5,8.8,8.0,6.9,5.1,4.6,3.7,5.5,"31,906",61.6
01013,AL,"Butler County, AL",7.9,7.6,7.9,8.6,9.4,6.4,5.7,6.3,8.8,15.1,13.4,12.4,11.8,10.4,8.5,7.6,6.9,5.7,4.7,3.7,8.8,"39,944",77.2
01015,AL,"Calhoun County, AL",5.1,5.6,6.0,5.9,5.4,4.5,4.0,4.0,5.9,10.2,11.2,10.3,9.1,8.9,7.9,7.1,6.6,5.1,4.6,3.6,7.1,"47,747",92.2
