FIPS,county,state,population
1001,Autauga, Alabama,"55,869"
1003,Baldwin, Alabama,"223,234"
1005,Barbour, Alabama,"24,686"
1007,Bibb, Alabama,"22,394"
1009,Blount, Alabama,"57,826"
1011,Bullock, Alabama,"10,101"
1013,Butler, Alabama,"19,448"
1015,Calhoun, Alabama,"113,605"
1017,Chambers, Alabama,"33,254"
1019,Cherokee, Alabama,"26,196"
1021,Chilton, Alabama,"44,428"
1023,Choctaw, Alabama,"12,589"
1025,Clarke, Alabama,"23,622"
1027,Clay, Alabama,"13,235"
1029,Cleburne, Alabama,"14,910"
1031,Coffee, Alabama,"52,342"
1033,Colbert, Alabama,"55,241"
1035,Conecuh, Alabama,"12,067"
1037,Coosa, Alabama,"10,663"
1039,Covington, Alabama,"37,049"
1041,Crenshaw, Alabama,"13,772"
1043,Cullman, Alabama,"83,768"
1045,Dale, Alabama,"49,172"
1047,Dallas, Alabama,"37,196"
1049,DeKalb, Alabama,"71,513"
1051,Elmore, Alabama,"81,209"
1053,Escambia, Alabama,"36,633"
1055,Etowah, Alabama,"102,268"
1057,Fayette, Alabama,"16,302"
1059,Franklin, Alabama,"31,362"
1061,Geneva, Alabama,"26,271"
1063,Greene, Alabama,"8,111"
1065,Hale, Alabama,"14,651"
1067,Henry, Alabama,"17,205"
1069,Houston, Alabama,"105,882"
1071,Jackson, Alabama,"51,626"
1073,Jefferson, Alabama,"658,573"
1075,Lamar, Alabama,"13,805"
1077,Lauderdale, Alabama,"92,729"
1079,Lawrence, Alabama,"32,924"
1081,Lee, Alabama,"164,542"
1083,Limestone, Alabama,"98,915"
1085,Lowndes, Alabama,"9,726"
1087,Macon, Alabama,"18,068"
1089,Madison, Alabama,"372,909"
1091,Marengo, Alabama,"18,863"
1093,Marion, Alabama,"29,709"
1095,Marshall, Alabama,"96,774"
1097,Mobile, Alabama,"413,210"
1099,Monroe, Alabama,"20,733"
1101,Montgomery, Alabama,"226,486"
1103,Morgan, Alabama,"119,679"
1105,Perry, Alabama,"8,923"
1107,Pickens, Alabama,"19,930"
1109,Pike, Alabama,"33,114"
1111,Randolph, Alabama,"22,722"
1113,Russell, Alabama,"57,961"
1115,St Clair, Alabama,"89,512"
1117,Shelby, Alabama,"217,702"
1119,Sumter, Alabama,"12,427"
1121,Talladega, Alabama,"79,978"
1123,Tallapoosa, Alabama,"40,367"
1125,Tuscaloosa, Alabama,"209,355"
1127,Walker, Alabama,"63,521"
1129,Washington, Alabama,"16,326"
1131,Wilcox, Alabama,"10,373"
1133,Winston, Alabama,"23,629"
2013,Aleutians East Borough, Alaska,"3,337"
2016,Aleutians West Census Area, Alaska,"5,634"
2020,Anchorage Municipality, Alaska,"288,000"
2050,Bethel Census Area, Alaska,"18,386"
2060,Bristol Bay Borough, Alaska,836
2068,Denali Borough, Alaska,"2,097"
2070,Dillingham Census Area, Alaska,"4,916"
2090,Fairbanks North Star Borough, Alaska,"96,849"
2100,Haines Borough, Alaska,"2,530"
2110,Hoonah-Angoon Census Area, Alaska,"2,148"
2122,Juneau City and Borough, Alaska,"31,974"
2130,Kenai Peninsula Borough, Alaska,"58,708"
2150,Ketchikan Gateway Borough, Alaska,"13,901"
2164,Kodiak Island Borough, Alaska,"12,998"
2170,Kusilvak Census Area, Alaska,"8,314"
2180,Lake and Peninsula Borough, Alaska,"1,592"
2185,Matanuska-Susitna Borough, Alaska,"108,317"
2188,Nome Census Area, Alaska,"10,004"
2201,North Slope Borough, Alaska,"9,832"
2220,Northwest Arctic Borough, Alaska,"7,621"
2232,Petersburg Borough, Alaska,"3,266"
2240,Prince of Wales-Hyder Census Area, Alaska,"6,203"
2261,Sitka City and Borough, Alaska,"8,493"
2270,Skagway Municipality, Alaska,"1,183"
2280,Southeast Fairbanks Census Area, Alaska,"6,893"
2282,Valdez-Cordova Census Area, Alaska,"9,202"
2290,Wrangell City and Borough, Alaska,"2,502"
4001,Yakutat City and Borough, Alaska,579
4003,Yukon-Koyukuk Census Area, Alaska,"5,230"
4005,Apache, Arizona,"71,887"
4007,Cochise, Arizona,"125,922"
4009,Coconino, Arizona,"143,476"
4011,Gila, Arizona,"54,018"
4012,Graham, Arizona,"38,837"
4013,Greenlee, Arizona,"9,498"
4015,La Paz, Arizona,"21,108"
4017,Maricopa, Arizona,"4,485,414"
4019,Mohave, Arizona,"212,181"
4021,Navajo, Arizona,"110,924"
4023,Pima, Arizona,"1,047,279"
4025,Pinal, Arizona,"462,789"
4027,Santa Cruz, Arizona,"46,498"
5001,Yavapai, Arizona,"235,099"
5003,Yuma, Arizona,"213,787"
5005,Arkansas, Arkansas,"17,486"
5007,Ashley, Arkansas,"19,657"
5009,Baxter, Arkansas,"41,932"
5011,Benton, Arkansas,"279,141"
5013,Boone, Arkansas,"37,432"
5015,Bradley, Arkansas,"10,763"
5017,Calhoun, Arkansas,"5,189"
5019,Carroll, Arkansas,"28,380"
5021,Chicot, Arkansas,"10,118"
5023,Clark, Arkansas,"22,320"
5025,Clay, Arkansas,"14,551"
5027,Cleburne, Arkansas,"24,919"
5029,Cleveland, Arkansas,"7,956"
5031,Columbia, Arkansas,"23,457"
5033,Conway, Arkansas,"20,846"
5035,Craighead, Arkansas,"110,332"
5037,Crawford, Arkansas,"63,257"
5039,Crittenden, Arkansas,"47,955"
5041,Cross, Arkansas,"16,419"
5043,Dallas, Arkansas,"7,009"
5045,Desha, Arkansas,"11,361"
5047,Drew, Arkansas,"18,219"
5049,Faulkner, Arkansas,"126,007"
5051,Franklin, Arkansas,"17,715"
5053,Fulton, Arkansas,"12,477"
5055,Garland, Arkansas,"99,386"
5057,Grant, Arkansas,"18,265"
5059,Greene, Arkansas,"45,325"
5061,Hempstead, Arkansas,"21,532"
5063,Hot Spring, Arkansas,"33,771"
5065,Howard, Arkansas,"13,202"
5067,Independence, Arkansas,"37,825"
5069,Izard, Arkansas,"13,629"
5071,Jackson, Arkansas,"16,719"
5073,Jefferson, Arkansas,"66,824"
5075,Johnson, Arkansas,"26,578"
5077,Lafayette, Arkansas,"6,624"
5079,Lawrence, Arkansas,"16,406"
5081,Lee, Arkansas,"8,857"
5083,Lincoln, Arkansas,"13,024"
5085,Little River, Arkansas,"12,259"
5087,Logan, Arkansas,"21,466"
5089,Lonoke, Arkansas,"73,309"
5091,Madison, Arkansas,"16,576"
5093,Marion, Arkansas,"16,694"
5095,Miller, Arkansas,"43,257"
5097,Mississippi, Arkansas,"40,651"
5099,Monroe, Arkansas,"6,701"
5101,Montgomery, Arkansas,"8,986"
5103,Nevada, Arkansas,"8,252"
5105,Newton, Arkansas,"7,753"
5107,Ouachita, Arkansas,"23,382"
5109,Perry, Arkansas,"10,455"
5111,Phillips, Arkansas,"17,782"
5113,Pike, Arkansas,"10,718"
5115,Poinsett, Arkansas,"23,528"
5117,Polk, Arkansas,"19,964"
5119,Pope, Arkansas,"64,072"
5121,Prairie, Arkansas,"8,062"
5123,Pulaski, Arkansas,"391,911"
5125,Randolph, Arkansas,"17,958"
5127,St Francis, Arkansas,"24,994"
5129,Saline, Arkansas,"122,437"
5131,Scott, Arkansas,"10,281"
5133,Searcy, Arkansas,"7,881"
5135,Sebastian, Arkansas,"127,827"
5137,Sevier, Arkansas,"17,007"
5139,Sharp, Arkansas,"17,442"
5141,Stone, Arkansas,"12,506"
5143,Union, Arkansas,"38,682"
5145,Van Buren, Arkansas,"16,545"
5147,Washington, Arkansas,"239,187"
5149,White, Arkansas,"78,753"
6001,Woodruff, Arkansas,"6,320"
6003,Yell, Arkansas,"21,341"
6005,Alameda, California,"1,671,329"
6007,Alpine, California,"1,129"
6009,Amador, California,"39,752"
6011,Butte, California,"219,186"
6013,Calaveras, California,"45,905"
6015,Colusa, California,"21,547"
6017,Contra Costa, California,"1,153,526"
6019,Del Norte, California,"27,812"
6021,El Dorado, California,"192,843"
6023,Fresno, California,"999,101"
6025,Glenn, California,"28,393"
6027,Humboldt, California,"135,558"
6029,Imperial, California,"181,215"
6031,Inyo, California,"18,039"
6033,Kern, California,"900,202"
6035,Kings, California,"152,940"
6037,Lake, California,"64,386"
6039,Lassen, California,"30,573"
6041,Los Angeles, California,"10,039,107"
6043,Madera, California,"157,327"
